m,k,n
1,25088,4096
1,4096,4096
1,4096,1000
1,25088,4096
1,4096,4096
1,4096,1000
1,512,1000
1,2048,1000
1,9216,4096
1,4096,4096
1,4096,1000
1,2208,1000
2,768,1000
2,2048,1000
1,2048,1024
1,1024,1000
1,2048,1024
1,1024,1000
1,1024,1000
1,1024,1000
1,1280,1000
1,2048,1000
1,2048,1000
1,1280,1000
