Kernel Name,Latency (ms)
b16.2.512.64.64.512.64.7.7.1.1.1,0.1345600038766861
16.2.768.64.64.768.64.3.3.1.1.1,0.10534399747848511
32.2.768.64.64.768.64.3.3.1.1.1,0.2693760097026825
b16.2.768.64.64.768.64.3.3.1.1.1,0.107744000852108
16.2.768.64.64.768.64.5.5.1.1.1,0.17580799758434296
32.2.768.64.64.768.64.5.5.1.1.1,0.4368320107460022
b16.2.768.64.64.768.64.5.5.1.1.1,0.1764480024576187
16.2.768.64.64.768.64.7.7.1.1.1,0.25779199600219727
32.2.768.64.64.768.64.7.7.1.1.1,0.6517760157585144
b16.2.768.64.64.768.64.7.7.1.1.1,0.2579199969768524
16.2.1024.64.64.1024.64.3.3.1.1.1,0.09196799993515015
32.2.1024.64.64.1024.64.3.3.1.1.1,0.21833600103855133
16.2.64.64.64.64.64.3.3.1.1.1,0.08585599809885025
b16.2.1024.64.64.1024.64.3.3.1.1.1,0.09487999975681305
32.2.64.64.64.64.64.3.3.1.1.1,0.09731200337409973
b16.2.64.64.64.64.64.3.3.1.1.1,0.08799999952316284
16.2.1024.64.64.1024.64.5.5.1.1.1,0.1456959992647171
16.2.64.64.64.64.64.5.5.1.1.1,0.08899199962615967
32.2.64.64.64.64.64.5.5.1.1.1,0.09424000233411789
32.2.1024.64.64.1024.64.5.5.1.1.1,0.38067200779914856
b16.2.64.64.64.64.64.5.5.1.1.1,0.08720000088214874
16.2.64.64.64.64.64.7.7.1.1.1,0.08988799899816513
32.2.64.64.64.64.64.7.7.1.1.1,0.08739200234413147
b16.2.1024.64.64.1024.64.5.5.1.1.1,0.1451520025730133
b16.2.64.64.64.64.64.7.7.1.1.1,0.09353599697351456
16.2.128.64.64.128.64.3.3.1.1.1,0.07846400141716003
16.2.1024.64.64.1024.64.7.7.1.1.1,0.2756800055503845
32.2.128.64.64.128.64.3.3.1.1.1,0.09913600236177444
b16.2.128.64.64.128.64.3.3.1.1.1,0.07577600330114365
32.2.1024.64.64.1024.64.7.7.1.1.1,0.5960320234298706
16.2.128.64.64.128.64.5.5.1.1.1,0.05222399905323982
32.2.128.64.64.128.64.5.5.1.1.1,0.12534399330615997
b16.2.1024.64.64.1024.64.7.7.1.1.1,0.27558401226997375
b16.2.128.64.64.128.64.5.5.1.1.1,0.058111999183893204
16.2.128.64.64.128.64.7.7.1.1.1,0.09353599697351456
32.2.128.64.64.128.64.7.7.1.1.1,0.20291200280189514
b16.2.128.64.64.128.64.7.7.1.1.1,0.09404800087213516
16.2.256.64.64.256.64.3.3.1.1.1,0.0976639986038208
32.2.256.64.64.256.64.3.3.1.1.1,0.11235199868679047
b16.2.256.64.64.256.64.3.3.1.1.1,0.09593600034713745
16.2.256.64.64.256.64.5.5.1.1.1,1.5711359977722168
32.2.256.64.64.256.64.5.5.1.1.1,0.11875200271606445
b16.2.256.64.64.256.64.5.5.1.1.1,1.5674240589141846
16.2.256.64.64.256.64.7.7.1.1.1,3.23142409324646
32.2.256.64.64.256.64.7.7.1.1.1,0.15919999778270721
b16.2.256.64.64.256.64.7.7.1.1.1,3.232095956802368
16.2.512.64.64.512.64.3.3.1.1.1,0.08604799956083298
32.2.512.64.64.512.64.3.3.1.1.1,0.11715199798345566
b16.2.512.64.64.512.64.3.3.1.1.1,0.08057600259780884
16.2.512.64.64.512.64.5.5.1.1.1,0.0719040036201477
32.2.512.64.64.512.64.5.5.1.1.1,0.21289600431919098
b16.2.512.64.64.512.64.5.5.1.1.1,0.07292799651622772
16.2.512.64.64.512.64.7.7.1.1.1,0.13116799294948578
32.2.512.64.64.512.64.7.7.1.1.1,0.3007679879665375
b16.2.512.64.64.512.64.7.7.1.1.1,0.13011200726032257
16.2.768.64.64.768.64.3.3.1.1.1,0.10470400005578995
32.2.768.64.64.768.64.3.3.1.1.1,0.2686080038547516
b16.2.768.64.64.768.64.3.3.1.1.1,0.10649599879980087
16.2.768.64.64.768.64.5.5.1.1.1,0.17286400496959686
32.2.768.64.64.768.64.5.5.1.1.1,0.43299201130867004
b16.2.768.64.64.768.64.5.5.1.1.1,0.15830400586128235
16.2.768.64.64.768.64.7.7.1.1.1,0.25542399287223816
32.2.768.64.64.768.64.7.7.1.1.1,0.6458560228347778
b16.2.768.64.64.768.64.7.7.1.1.1,0.2542079985141754
16.2.1024.64.64.1024.64.3.3.1.1.1,0.08963199704885483
32.2.1024.64.64.1024.64.3.3.1.1.1,0.217056006193161
b16.2.1024.64.64.1024.64.3.3.1.1.1,0.09388799965381622
16.2.1024.64.64.1024.64.5.5.1.1.1,0.142752006649971
32.2.1024.64.64.1024.64.5.5.1.1.1,0.37673598527908325
b16.2.1024.64.64.1024.64.5.5.1.1.1,0.15932799875736237
16.2.1024.64.64.1024.64.7.7.1.1.1,0.2736000120639801
32.2.1024.64.64.1024.64.7.7.1.1.1,0.5920000076293945
b16.2.1024.64.64.1024.64.7.7.1.1.1,0.2703680098056793
