Kernel Name,Latency (ms)
32.4.256.512.512.256.16.7.7.1.1.1,15.907584190368652
b16.4.256.512.512.256.16.7.7.1.1.1,7.631231784820557
16.4.512.512.512.512.16.3.3.1.1.1,6.386528015136719
32.4.512.512.512.512.16.3.3.1.1.1,9.950048446655273
b16.4.512.512.512.512.16.3.3.1.1.1,6.388832092285156
16.4.512.512.512.512.16.5.5.1.1.1,9.840928077697754
32.4.512.512.512.512.16.5.5.1.1.1,19.115936279296875
b16.4.512.512.512.512.16.5.5.1.1.1,9.833375930786133
16.4.512.512.512.512.16.7.7.1.1.1,13.817888259887695
32.4.512.512.512.512.16.7.7.1.1.1,31.86614418029785
b16.4.512.512.512.512.16.7.7.1.1.1,13.706463813781738
16.4.768.512.512.768.16.3.3.1.1.1,12.91478443145752
32.4.768.512.512.768.16.3.3.1.1.1,24.803007125854492
b16.4.768.512.512.768.16.3.3.1.1.1,12.932191848754883
16.4.768.512.512.768.16.5.5.1.1.1,21.61020851135254
16.4.16.512.512.16.16.3.3.1.1.1,0.1889919936656952
32.4.768.512.512.768.16.5.5.1.1.1,49.857025146484375
32.4.16.512.512.16.16.3.3.1.1.1,0.24048000574111938
b16.4.16.512.512.16.16.3.3.1.1.1,0.9227520227432251
b16.4.768.512.512.768.16.5.5.1.1.1,21.661951065063477
16.4.16.512.512.16.16.5.5.1.1.1,1.4122560024261475
16.4.768.512.512.768.16.7.7.1.1.1,32.351646423339844
32.4.16.512.512.16.16.5.5.1.1.1,0.3603839874267578
b16.4.16.512.512.16.16.5.5.1.1.1,1.526911973953247
32.4.768.512.512.768.16.7.7.1.1.1,85.74982452392578
16.4.16.512.512.16.16.7.7.1.1.1,1.7211519479751587
b16.4.768.512.512.768.16.7.7.1.1.1,32.34627151489258
32.4.16.512.512.16.16.7.7.1.1.1,5.381343841552734
16.4.1024.512.512.1024.16.3.3.1.1.1,8.813088417053223
b16.4.16.512.512.16.16.7.7.1.1.1,1.8470079898834229
32.4.1024.512.512.1024.16.3.3.1.1.1,20.40483283996582
16.4.64.512.512.64.16.3.3.1.1.1,3.5966079235076904
b16.4.1024.512.512.1024.16.3.3.1.1.1,8.855487823486328
32.4.64.512.512.64.16.3.3.1.1.1,1.2163519859313965
16.4.1024.512.512.1024.16.5.5.1.1.1,14.055007934570312
b16.4.64.512.512.64.16.3.3.1.1.1,3.782304048538208
16.4.64.512.512.64.16.5.5.1.1.1,4.7284159660339355
32.4.1024.512.512.1024.16.5.5.1.1.1,50.877342224121094
32.4.64.512.512.64.16.5.5.1.1.1,2.465280055999756
b16.4.1024.512.512.1024.16.5.5.1.1.1,13.780768394470215
b16.4.64.512.512.64.16.5.5.1.1.1,4.711264133453369
16.4.64.512.512.64.16.7.7.1.1.1,1.8923519849777222
16.4.1024.512.512.1024.16.7.7.1.1.1,32.20431900024414
32.4.64.512.512.64.16.7.7.1.1.1,4.345376014709473
32.4.1024.512.512.1024.16.7.7.1.1.1,84.71612548828125
b16.4.64.512.512.64.16.7.7.1.1.1,1.9436479806900024
b16.4.1024.512.512.1024.16.7.7.1.1.1,32.20640182495117
16.4.128.512.512.128.16.3.3.1.1.1,3.4795520305633545
32.4.128.512.512.128.16.3.3.1.1.1,2.3950719833374023
b16.4.128.512.512.128.16.3.3.1.1.1,3.6036159992218018
16.4.128.512.512.128.16.5.5.1.1.1,2.1117119789123535
32.4.128.512.512.128.16.5.5.1.1.1,4.900896072387695
b16.4.128.512.512.128.16.5.5.1.1.1,2.1068480014801025
16.4.128.512.512.128.16.7.7.1.1.1,3.5486080646514893
32.4.128.512.512.128.16.7.7.1.1.1,8.04531192779541
b16.4.128.512.512.128.16.7.7.1.1.1,3.488703966140747
16.4.256.512.512.256.16.3.3.1.1.1,10.702431678771973
32.4.256.512.512.256.16.3.3.1.1.1,4.719520092010498
b16.4.256.512.512.256.16.3.3.1.1.1,10.468704223632812
16.4.256.512.512.256.16.5.5.1.1.1,4.457888126373291
32.4.256.512.512.256.16.5.5.1.1.1,9.636480331420898
b16.4.256.512.512.256.16.5.5.1.1.1,4.45849609375
16.4.256.512.512.256.16.7.7.1.1.1,7.528287887573242
32.4.256.512.512.256.16.7.7.1.1.1,15.795136451721191
b16.4.256.512.512.256.16.7.7.1.1.1,7.56115198135376
16.4.512.512.512.512.16.3.3.1.1.1,6.366176128387451
32.4.512.512.512.512.16.3.3.1.1.1,9.903103828430176
b16.4.512.512.512.512.16.3.3.1.1.1,6.359488010406494
16.4.512.512.512.512.16.5.5.1.1.1,9.870944023132324
32.4.512.512.512.512.16.5.5.1.1.1,18.987871170043945
b16.4.512.512.512.512.16.5.5.1.1.1,9.815648078918457
16.4.512.512.512.512.16.7.7.1.1.1,13.659839630126953
32.4.512.512.512.512.16.7.7.1.1.1,31.83718490600586
b16.4.512.512.512.512.16.7.7.1.1.1,13.699295997619629
16.4.768.512.512.768.16.3.3.1.1.1,12.918560028076172
32.4.768.512.512.768.16.3.3.1.1.1,24.818592071533203
b16.4.768.512.512.768.16.3.3.1.1.1,12.912799835205078
16.4.768.512.512.768.16.5.5.1.1.1,21.62611198425293
32.4.768.512.512.768.16.5.5.1.1.1,49.85145568847656
b16.4.768.512.512.768.16.5.5.1.1.1,21.618431091308594
16.4.768.512.512.768.16.7.7.1.1.1,32.35980987548828
32.4.768.512.512.768.16.7.7.1.1.1,85.69926452636719
b16.4.768.512.512.768.16.7.7.1.1.1,32.376033782958984
