Kernel Name,Latency (ms)
32.2.1024.32.32.1024.512.5.5.1.1.1,0.21328000724315643
b16.2.1024.32.32.1024.512.5.5.1.1.1,0.07075200229883194
16.2.1024.32.32.1024.512.7.7.1.1.1,0.18140800297260284
32.2.1024.32.32.1024.512.7.7.1.1.1,0.4005120098590851
b16.2.1024.32.32.1024.512.7.7.1.1.1,0.06800000369548798
16.2.512.32.32.512.512.3.3.1.1.1,0.08649600297212601
32.2.512.32.32.512.512.3.3.1.1.1,0.10316800326108932
b16.2.512.32.32.512.512.3.3.1.1.1,0.09158399701118469
16.2.512.32.32.512.512.5.5.1.1.1,0.08671999722719193
32.2.512.32.32.512.512.5.5.1.1.1,0.09628800302743912
b16.2.512.32.32.512.512.5.5.1.1.1,0.08716800063848495
16.2.512.32.32.512.512.7.7.1.1.1,0.08873599767684937
32.2.512.32.32.512.512.7.7.1.1.1,0.11267200112342834
b16.2.512.32.32.512.512.7.7.1.1.1,0.08937600255012512
16.2.1024.32.32.1024.512.3.3.1.1.1,0.20239999890327454
32.2.1024.32.32.1024.512.3.3.1.1.1,0.08966399729251862
b16.2.1024.32.32.1024.512.3.3.1.1.1,0.03852799907326698
16.2.1024.32.32.1024.512.5.5.1.1.1,0.19254399836063385
32.2.1024.32.32.1024.512.5.5.1.1.1,0.2133760005235672
b16.2.1024.32.32.1024.512.5.5.1.1.1,0.07014399766921997
16.2.1024.32.32.1024.512.7.7.1.1.1,0.19411200284957886
32.2.1024.32.32.1024.512.7.7.1.1.1,0.40092799067497253
b16.2.1024.32.32.1024.512.7.7.1.1.1,0.06921599805355072
