Kernel Name,Latency (ms)
16.8.768.224.224.768.768.3.3.1.1.1,1.164512038230896
32.8.768.224.224.768.768.3.3.1.1.1,3.4352641105651855
b16.8.768.224.224.768.768.3.3.1.1.1,1.1650559902191162
16.8.768.224.224.768.768.5.5.1.1.1,1.6070400476455688
32.8.768.224.224.768.768.5.5.1.1.1,4.310944080352783
b16.8.768.224.224.768.768.5.5.1.1.1,2.2478721141815186
16.8.768.224.224.768.768.7.7.1.1.1,2.00547194480896
32.8.768.224.224.768.768.7.7.1.1.1,28.220800399780273
b16.8.768.224.224.768.768.7.7.1.1.1,2.2177600860595703
16.8.768.224.224.768.768.3.3.1.1.1,1.1622719764709473
32.8.768.224.224.768.768.3.3.1.1.1,3.446592092514038
b16.8.768.224.224.768.768.3.3.1.1.1,1.16486394405365
16.8.768.224.224.768.768.5.5.1.1.1,1.6128640174865723
32.8.768.224.224.768.768.5.5.1.1.1,4.305759906768799
b16.8.768.224.224.768.768.5.5.1.1.1,2.2445120811462402
16.8.768.224.224.768.768.7.7.1.1.1,2.0024960041046143
32.8.768.224.224.768.768.7.7.1.1.1,28.22547149658203
b16.8.768.224.224.768.768.7.7.1.1.1,2.217952013015747
