Kernel Name,Latency (ms)
b16.16.256.128.128.256.128.5.5.1.1.1,0.9502720236778259
16.16.256.128.128.256.128.7.7.1.1.1,3.4734721183776855
32.16.256.128.128.256.128.7.7.1.1.1,7.927807807922363
b16.16.256.128.128.256.128.7.7.1.1.1,3.4608640670776367
16.16.512.128.128.512.128.3.3.1.1.1,1.1267839670181274
32.16.512.128.128.512.128.3.3.1.1.1,2.344575881958008
b16.16.512.128.128.512.128.3.3.1.1.1,1.1312320232391357
16.16.512.128.128.512.128.5.5.1.1.1,1.9228800535202026
32.16.512.128.128.512.128.5.5.1.1.1,4.583680152893066
b16.16.512.128.128.512.128.5.5.1.1.1,1.9882880449295044
16.16.512.128.128.512.128.7.7.1.1.1,3.3550078868865967
32.16.512.128.128.512.128.7.7.1.1.1,7.790592193603516
b16.16.512.128.128.512.128.7.7.1.1.1,3.367647886276245
16.16.768.128.128.768.128.3.3.1.1.1,3.1068480014801025
32.16.768.128.128.768.128.3.3.1.1.1,6.5116801261901855
b16.16.768.128.128.768.128.3.3.1.1.1,3.114176034927368
16.16.768.128.128.768.128.5.5.1.1.1,5.078847885131836
32.16.768.128.128.768.128.5.5.1.1.1,11.034144401550293
b16.16.768.128.128.768.128.5.5.1.1.1,5.067008018493652
16.16.768.128.128.768.128.7.7.1.1.1,7.841279983520508
16.16.128.128.128.128.128.3.3.1.1.1,0.2542720139026642
32.16.128.128.128.128.128.3.3.1.1.1,0.4009599983692169
32.16.768.128.128.768.128.7.7.1.1.1,17.496768951416016
b16.16.128.128.128.128.128.3.3.1.1.1,0.2470400035381317
16.16.128.128.128.128.128.5.5.1.1.1,0.39923200011253357
b16.16.768.128.128.768.128.7.7.1.1.1,7.909791946411133
32.16.128.128.128.128.128.5.5.1.1.1,0.5775039792060852
16.16.1024.128.128.1024.128.3.3.1.1.1,2.088063955307007
b16.16.128.128.128.128.128.5.5.1.1.1,0.4360640048980713
32.16.1024.128.128.1024.128.3.3.1.1.1,4.66867208480835
16.16.128.128.128.128.128.7.7.1.1.1,0.46880000829696655
b16.16.1024.128.128.1024.128.3.3.1.1.1,2.091775894165039
32.16.128.128.128.128.128.7.7.1.1.1,7.781407833099365
16.16.1024.128.128.1024.128.5.5.1.1.1,4.063168048858643
b16.16.128.128.128.128.128.7.7.1.1.1,0.49535998702049255
32.16.1024.128.128.1024.128.5.5.1.1.1,9.128191947937012
16.16.256.128.128.256.128.3.3.1.1.1,0.4368320107460022
b16.16.1024.128.128.1024.128.5.5.1.1.1,4.080351829528809
16.16.1024.128.128.1024.128.7.7.1.1.1,6.823904037475586
32.16.256.128.128.256.128.3.3.1.1.1,2.714560031890869
32.16.1024.128.128.1024.128.7.7.1.1.1,15.574463844299316
b16.16.256.128.128.256.128.3.3.1.1.1,0.4907839894294739
b16.16.1024.128.128.1024.128.7.7.1.1.1,6.816991806030273
16.16.256.128.128.256.128.5.5.1.1.1,0.6572480201721191
32.16.256.128.128.256.128.5.5.1.1.1,5.763775825500488
b16.16.256.128.128.256.128.5.5.1.1.1,0.9511359930038452
16.16.256.128.128.256.128.7.7.1.1.1,3.464672088623047
32.16.256.128.128.256.128.7.7.1.1.1,7.938399791717529
b16.16.256.128.128.256.128.7.7.1.1.1,3.4317119121551514
16.16.512.128.128.512.128.3.3.1.1.1,1.1262719631195068
32.16.512.128.128.512.128.3.3.1.1.1,2.3492801189422607
b16.16.512.128.128.512.128.3.3.1.1.1,1.1292799711227417
16.16.512.128.128.512.128.5.5.1.1.1,1.990272045135498
32.16.512.128.128.512.128.5.5.1.1.1,4.5872321128845215
b16.16.512.128.128.512.128.5.5.1.1.1,2.0215039253234863
16.16.512.128.128.512.128.7.7.1.1.1,3.3510079383850098
32.16.512.128.128.512.128.7.7.1.1.1,7.79369592666626
b16.16.512.128.128.512.128.7.7.1.1.1,3.3863039016723633
16.16.768.128.128.768.128.3.3.1.1.1,3.114176034927368
32.16.768.128.128.768.128.3.3.1.1.1,6.525631904602051
b16.16.768.128.128.768.128.3.3.1.1.1,3.1104960441589355
16.16.768.128.128.768.128.5.5.1.1.1,5.12227201461792
32.16.768.128.128.768.128.5.5.1.1.1,11.038047790527344
b16.16.768.128.128.768.128.5.5.1.1.1,5.112480163574219
16.16.768.128.128.768.128.7.7.1.1.1,7.823200225830078
32.16.768.128.128.768.128.7.7.1.1.1,17.507583618164062
b16.16.768.128.128.768.128.7.7.1.1.1,7.872992038726807
16.16.1024.128.128.1024.128.3.3.1.1.1,2.093247890472412
32.16.1024.128.128.1024.128.3.3.1.1.1,4.681375980377197
b16.16.1024.128.128.1024.128.3.3.1.1.1,2.091615915298462
16.16.1024.128.128.1024.128.5.5.1.1.1,4.0584001541137695
32.16.1024.128.128.1024.128.5.5.1.1.1,9.128479957580566
b16.16.1024.128.128.1024.128.5.5.1.1.1,4.066463947296143
16.16.1024.128.128.1024.128.7.7.1.1.1,6.841663837432861
32.16.1024.128.128.1024.128.7.7.1.1.1,15.485119819641113
b16.16.1024.128.128.1024.128.7.7.1.1.1,6.824863910675049
