FLOPs,Time
18,0.0082
36,0.0082
54,0.0082
72,0.0082
90,0.0082
108,0.0082
126,0.0082
144,0.0072
162,0.0082
180,0.0082
360,0.0082
540,0.0082
720,0.0072
900,0.0082
1080,0.0082
1260,0.0082
1440,0.0082
1620,0.0082
1800,0.0082
3600,0.0102
5400,0.0082
7200,0.0082
9000,0.0082
10800,0.0082
12600,0.0082
14400,0.0082
16200,0.0082
18000,0.0082
36,0.0102
72,0.0061
108,0.0061
144,0.0061
180,0.0061
216,0.0061
252,0.0061
288,0.0061
324,0.0061
360,0.0061
720,0.0061
1080,0.0061
1440,0.0061
1800,0.0061
2160,0.0061
2520,0.0061
2880,0.0061
3240,0.0061
3600,0.0061
7200,0.0061
10800,0.0061
14400,0.0061
18000,0.0061
21600,0.0061
25200,0.0061
28800,0.0061
32400,0.0061
36000,0.0061
54,0.0102
108,0.0061
162,0.0061
216,0.0061
270,0.0061
324,0.0061
378,0.0061
432,0.0061
486,0.0061
540,0.0061
1080,0.0061
1620,0.0061
2160,0.0061
2700,0.0061
3240,0.0061
3780,0.0061
4320,0.0061
4860,0.0061
5400,0.0061
10800,0.0061
16200,0.0061
21600,0.0061
27000,0.0061
32400,0.0061
37800,0.0061
43200,0.0062
48600,0.0061
54000,0.0071
72,0.0102
144,0.0061
216,0.0061
288,0.0061
360,0.0061
432,0.0061
504,0.0061
576,0.0061
648,0.0061
720,0.0061
1440,0.0061
2160,0.0061
2880,0.0061
3600,0.0061
4320,0.0061
5040,0.0061
5760,0.0061
6480,0.0061
7200,0.0061
14400,0.0061
21600,0.0061
28800,0.0061
36000,0.0061
43200,0.0061
50400,0.0062
57600,0.0072
64800,0.0071
72000,0.0072
90,0.0102
180,0.0061
270,0.0061
360,0.0061
450,0.0061
540,0.0061
630,0.0061
720,0.0061
810,0.0061
900,0.0061
1800,0.0061
2700,0.0061
3600,0.0061
4500,0.0061
5400,0.0061
6300,0.0061
7200,0.0061
8100,0.0061
9000,0.0061
18000,0.0061
27000,0.0061
36000,0.0061
45000,0.0061
54000,0.0061
63000,0.0071
72000,0.0072
81000,0.0072
90000,0.0072
108,0.0102
216,0.0061
324,0.0061
432,0.0061
540,0.0061
648,0.0061
756,0.0061
864,0.0061
972,0.0061
1080,0.0061
2160,0.0061
3240,0.0061
4320,0.0061
5400,0.0061
6480,0.0061
7560,0.0061
8640,0.0061
9720,0.0061
10800,0.0061
21600,0.0061
32400,0.0061
43200,0.0061
54000,0.0061
64800,0.0061
75600,0.0072
86400,0.0072
97200,0.0072
108000,0.0072
126,0.0102
252,0.0061
378,0.0061
504,0.0061
630,0.0061
756,0.0061
882,0.0061
1008,0.0061
1134,0.0061
1260,0.0061
2520,0.0061
3780,0.0061
5040,0.0061
6300,0.0061
7560,0.0061
8820,0.0061
10080,0.0061
11340,0.0061
12600,0.0061
25200,0.0061
37800,0.0061
50400,0.0061
63000,0.0061
75600,0.0061
88200,0.0072
100800,0.0072
113400,0.0072
126000,0.0072
144,0.0102
288,0.0061
432,0.0061
576,0.0061
720,0.0061
864,0.0061
1008,0.0061
1152,0.0061
1296,0.0061
1440,0.0061
2880,0.0061
4320,0.0061
5760,0.0061
7200,0.0061
8640,0.0061
10080,0.0061
11520,0.0061
12960,0.0061
14400,0.0061
28800,0.0061
43200,0.0061
57600,0.0061
72000,0.0061
86400,0.0062
100800,0.0072
115200,0.0072
129600,0.0072
144000,0.0072
162,0.0102
324,0.0061
486,0.0061
648,0.0061
810,0.0061
972,0.0061
1134,0.0061
1296,0.0061
1458,0.0061
1620,0.0061
3240,0.0061
4860,0.0061
6480,0.0061
8100,0.0061
9720,0.0061
11340,0.0061
12960,0.0061
14580,0.0061
16200,0.0061
32400,0.0061
48600,0.0061
64800,0.0061
81000,0.0061
97200,0.0062
113400,0.0072
129600,0.0072
145800,0.0072
162000,0.0072
180,0.0102
360,0.0061
540,0.0061
720,0.0061
900,0.0061
1080,0.0061
1260,0.0061
1440,0.0061
1620,0.0061
1800,0.0061
3600,0.0061
5400,0.0061
7200,0.0061
9000,0.0061
10800,0.0061
12600,0.0061
14400,0.0061
16200,0.0061
18000,0.0061
36000,0.0061
54000,0.0061
72000,0.0061
90000,0.0061
108000,0.0061
126000,0.0072
144000,0.0072
162000,0.0072
180000,0.0072
360,0.0102
720,0.0061
1080,0.0061
1440,0.0061
1800,0.0061
2160,0.0061
2520,0.0061
2880,0.0061
3240,0.0061
3600,0.0061
7200,0.0061
10800,0.0061
14400,0.0061
18000,0.0061
21600,0.0061
25200,0.0061
28800,0.0061
32400,0.0061
36000,0.0061
72000,0.0061
108000,0.0062
144000,0.0061
180000,0.0071
216000,0.0072
252000,0.0072
288000,0.0072
324000,0.0072
360000,0.0072
540,0.0102
1080,0.0061
1620,0.0061
2160,0.0061
2700,0.0061
3240,0.0061
3780,0.0061
4320,0.0061
4860,0.0061
5400,0.0061
10800,0.0061
16200,0.0061
21600,0.0061
27000,0.0061
32400,0.0061
37800,0.0061
43200,0.0061
48600,0.0061
54000,0.0061
108000,0.0071
162000,0.0072
216000,0.0072
270000,0.0072
324000,0.0072
378000,0.0082
432000,0.0082
486000,0.0082
540000,0.0082
720,0.0102
1440,0.0061
2160,0.0072
2880,0.0061
3600,0.0072
4320,0.0061
5040,0.0072
5760,0.0062
6480,0.0072
7200,0.0062
14400,0.0062
21600,0.0072
28800,0.0072
36000,0.0072
43200,0.0072
50400,0.0072
57600,0.0072
64800,0.0072
72000,0.0072
144000,0.0072
216000,0.0072
288000,0.0072
360000,0.0072
432000,0.0082
504000,0.0082
576000,0.0082
648000,0.0082
720000,0.0082
900,0.0102
1800,0.0061
2700,0.0062
3600,0.0071
4500,0.0072
5400,0.0071
6300,0.0072
7200,0.0072
8100,0.0072
9000,0.0072
18000,0.0072
27000,0.0072
36000,0.0072
45000,0.0072
54000,0.0072
63000,0.0072
72000,0.0072
81000,0.0072
90000,0.0072
180000,0.0072
270000,0.0072
360000,0.0072
450000,0.0082
540000,0.0082
630000,0.0082
720000,0.0082
810000,0.0082
900000,0.0082
1080,0.0102
2160,0.0061
3240,0.0061
4320,0.0061
5400,0.0061
6480,0.0061
7560,0.0061
8640,0.0061
9720,0.0061
10800,0.0061
21600,0.0061
32400,0.0061
