batch_size,m,k,n
49152,64,9,1
96,512,64,512
96,512,512,64
96,64,512,512
49152,9,64,1
49152,64,1,9
256,48,784,48
256,48,48,784
256,784,48,48
32,1,128,1
1,32,128,32000
1,32,32000,128
32,1,1,128
16,512,384,54
49152,64,9,1
96,512,64,512
96,512,512,64
256,48,784,48
256,48,48,784
16,784,768,768
64,50,768,256
