Kernel Name,Latency (ms)
16.8.768.784.784.768.768.7.7.1.1.1,19.206592559814453
32.8.768.784.784.768.768.7.7.1.1.1,222.7376251220703
b16.8.768.784.784.768.768.7.7.1.1.1,20.026752471923828
16.8.768.784.784.768.768.7.7.2.1.1,894.502197265625
32.8.768.784.784.768.768.7.7.2.1.1,nan
b16.8.768.784.784.768.768.7.7.2.1.1,894.0377197265625
16.8.768.784.784.768.768.3.3.1.1.1,7.948832035064697
32.8.768.784.784.768.768.3.3.1.1.1,48.11235046386719
b16.8.768.784.784.768.768.3.3.1.1.1,7.966559886932373
16.8.768.784.784.768.768.3.3.2.1.1,193.28892517089844
32.8.768.784.784.768.768.3.3.2.1.1,nan
b16.8.768.784.784.768.768.3.3.2.1.1,193.47817993164062
16.8.768.784.784.768.768.5.5.1.1.1,10.561375617980957
32.8.768.784.784.768.768.5.5.1.1.1,125.71548461914062
b16.8.768.784.784.768.768.5.5.1.1.1,11.746175765991211
16.8.768.784.784.768.768.5.5.2.1.1,516.90673828125
32.8.768.784.784.768.768.5.5.2.1.1,nan
b16.8.768.784.784.768.768.5.5.2.1.1,516.706298828125
16.8.768.784.784.768.768.7.7.1.1.1,19.21139144897461
32.8.768.784.784.768.768.7.7.1.1.1,222.6609649658203
b16.8.768.784.784.768.768.7.7.1.1.1,20.026527404785156
16.8.768.784.784.768.768.7.7.2.1.1,894.1959228515625
32.8.768.784.784.768.768.7.7.2.1.1,nan
b16.8.768.784.784.768.768.7.7.2.1.1,894.9259033203125
