Kernel Name,Latency (ms)
16.32.1.224.224.1.1.3.3.1.1.1,0.5601919889450073
32.32.1.224.224.1.1.3.3.1.1.1,0.026367999613285065
b16.32.1.224.224.1.1.3.3.1.1.1,0.583296000957489
16.32.1.224.224.1.1.3.3.2.1.1,0.08841600269079208
32.32.1.224.224.1.1.3.3.2.1.1,0.08806400001049042
b16.32.1.224.224.1.1.3.3.2.1.1,0.08854400366544724
16.32.1.224.224.1.1.5.5.1.1.1,1.276095986366272
32.32.1.224.224.1.1.5.5.1.1.1,0.06307200342416763
b16.32.1.224.224.1.1.5.5.1.1.1,1.3700159788131714
16.32.1.224.224.1.1.5.5.2.1.1,0.22806400060653687
32.32.1.224.224.1.1.5.5.2.1.1,0.22780799865722656
b16.32.1.224.224.1.1.5.5.2.1.1,0.2279359996318817
16.32.1.224.224.1.1.7.7.1.1.1,3.160799980163574
32.32.1.224.224.1.1.7.7.1.1.1,0.10825599730014801
b16.32.1.224.224.1.1.7.7.1.1.1,3.1705920696258545
16.32.1.224.224.1.1.7.7.2.1.1,0.3988479971885681
32.32.1.224.224.1.1.7.7.2.1.1,0.39609599113464355
b16.32.1.224.224.1.1.7.7.2.1.1,0.398144006729126
16.32.8.224.224.8.1.3.3.1.1.1,0.5560960173606873
32.32.8.224.224.8.1.3.3.1.1.1,0.5285120010375977
b16.32.8.224.224.8.1.3.3.1.1.1,0.5750719904899597
16.32.8.224.224.8.1.3.3.2.1.1,0.8365439772605896
32.32.8.224.224.8.1.3.3.2.1.1,1.4176000356674194
b16.32.8.224.224.8.1.3.3.2.1.1,0.8375359773635864
16.32.8.224.224.8.1.5.5.1.1.1,1.2710399627685547
32.32.8.224.224.8.1.5.5.1.1.1,1.2460479736328125
b16.32.8.224.224.8.1.5.5.1.1.1,1.369439959526062
16.32.8.224.224.8.1.5.5.2.1.1,1.4975680112838745
32.32.8.224.224.8.1.5.5.2.1.1,3.4212799072265625
b16.32.8.224.224.8.1.5.5.2.1.1,1.4966720342636108
16.32.8.224.224.8.1.7.7.1.1.1,0.9796159863471985
32.32.8.224.224.8.1.7.7.1.1.1,1.0362240076065063
b16.32.8.224.224.8.1.7.7.1.1.1,0.9795200228691101
16.32.8.224.224.8.1.7.7.2.1.1,1.3476799726486206
32.32.8.224.224.8.1.7.7.2.1.1,5.46940803527832
b16.32.8.224.224.8.1.7.7.2.1.1,1.3732479810714722
16.32.16.224.224.16.1.3.3.1.1.1,0.3858239948749542
32.32.16.224.224.16.1.3.3.1.1.1,0.4176639914512634
b16.32.16.224.224.16.1.3.3.1.1.1,0.4037120044231415
16.32.16.224.224.16.1.3.3.2.1.1,0.8529599905014038
32.32.16.224.224.16.1.3.3.2.1.1,1.0383039712905884
b16.32.16.224.224.16.1.3.3.2.1.1,0.8520320057868958
16.32.16.224.224.16.1.5.5.1.1.1,0.7180160284042358
32.32.16.224.224.16.1.5.5.1.1.1,0.6655359864234924
b16.32.16.224.224.16.1.5.5.1.1.1,0.755295991897583
16.32.16.224.224.16.1.5.5.2.1.1,1.502560019493103
32.32.16.224.224.16.1.5.5.2.1.1,1.119968056678772
b16.32.16.224.224.16.1.5.5.2.1.1,1.5023679733276367
16.32.16.224.224.16.1.7.7.1.1.1,0.964352011680603
32.32.16.224.224.16.1.7.7.1.1.1,1.0561599731445312
b16.32.16.224.224.16.1.7.7.1.1.1,0.963263988494873
16.32.16.224.224.16.1.7.7.2.1.1,1.3854080438613892
32.32.16.224.224.16.1.7.7.2.1.1,1.1991679668426514
b16.32.16.224.224.16.1.7.7.2.1.1,1.407520055770874
16.32.64.224.224.64.1.3.3.1.1.1,0.6745280027389526
32.32.64.224.224.64.1.3.3.1.1.1,1.254591941833496
b16.32.64.224.224.64.1.3.3.1.1.1,0.6778879761695862
16.32.64.224.224.64.1.3.3.2.1.1,1.6270079612731934
32.32.64.224.224.64.1.3.3.2.1.1,3.1311678886413574
b16.32.64.224.224.64.1.3.3.2.1.1,1.6244800090789795
16.32.64.224.224.64.1.5.5.1.1.1,1.1414079666137695
32.32.64.224.224.64.1.5.5.1.1.1,2.1657919883728027
b16.32.64.224.224.64.1.5.5.1.1.1,1.1431039571762085
16.32.64.224.224.64.1.5.5.2.1.1,1.9416639804840088
32.32.64.224.224.64.1.5.5.2.1.1,3.658911943435669
b16.32.64.224.224.64.1.5.5.2.1.1,1.9440319538116455
16.32.64.224.224.64.1.7.7.1.1.1,2.2411201000213623
32.32.64.224.224.64.1.7.7.1.1.1,4.152128219604492
b16.32.64.224.224.64.1.7.7.1.1.1,2.24070405960083
16.32.64.224.224.64.1.7.7.2.1.1,2.7151360511779785
32.32.64.224.224.64.1.7.7.2.1.1,5.275519847869873
b16.32.64.224.224.64.1.7.7.2.1.1,2.718656063079834
16.32.128.224.224.128.1.3.3.1.1.1,1.4652800559997559
32.32.128.224.224.128.1.3.3.1.1.1,2.6741440296173096
b16.32.128.224.224.128.1.3.3.1.1.1,1.4427839517593384
16.32.128.224.224.128.1.3.3.2.1.1,3.372096061706543
32.32.128.224.224.128.1.3.3.2.1.1,6.444704055786133
b16.32.128.224.224.128.1.3.3.2.1.1,3.3691840171813965
16.32.128.224.224.128.1.5.5.1.1.1,2.586656093597412
32.32.128.224.224.128.1.5.5.1.1.1,5.0278401374816895
b16.32.128.224.224.128.1.5.5.1.1.1,2.523776054382324
16.32.128.224.224.128.1.5.5.2.1.1,4.356895923614502
32.32.128.224.224.128.1.5.5.2.1.1,8.148799896240234
b16.32.128.224.224.128.1.5.5.2.1.1,4.295616149902344
16.32.128.224.224.128.1.7.7.1.1.1,4.817024230957031
