Kernel Name,Latency (ms)
16.32.768.32.32.768.768.3.3.1.1.0,0.0551999993622303
32.32.768.32.32.768.768.3.3.1.1.0,0.2369920015335083
b16.32.768.32.32.768.768.3.3.1.1.0,0.2300799936056137
16.32.768.32.32.768.768.5.5.1.1.0,0.084927998483181
32.32.768.32.32.768.768.5.5.1.1.0,0.3343360126018524
b16.32.768.32.32.768.768.5.5.1.1.0,0.34140801429748535
16.32.768.32.32.768.768.7.7.1.1.0,0.6120319962501526
32.32.768.32.32.768.768.7.7.1.1.0,0.5792319774627686
b16.32.768.32.32.768.768.7.7.1.1.0,0.6054720282554626
