Kernel Name,Latency (ms)
16.16.1.32.32.1.1.3.3.1.1.1,0.03830400109291077
32.16.1.32.32.1.1.3.3.1.1.1,0.0163199994713068
b16.16.1.32.32.1.1.3.3.1.1.1,0.03868800029158592
16.16.1.32.32.1.1.5.5.1.1.1,0.044895999133586884
32.16.1.32.32.1.1.5.5.1.1.1,0.01651199907064438
b16.16.1.32.32.1.1.5.5.1.1.1,0.04864000156521797
16.16.1.32.32.1.1.7.7.1.1.1,0.09068799763917923
32.16.1.32.32.1.1.7.7.1.1.1,0.019967999309301376
b16.16.1.32.32.1.1.7.7.1.1.1,0.09004800021648407
16.16.8.32.32.8.1.3.3.1.1.1,0.02876799926161766
32.16.8.32.32.8.1.3.3.1.1.1,0.021247999742627144
b16.16.8.32.32.8.1.3.3.1.1.1,0.026367999613285065
16.16.8.32.32.8.1.5.5.1.1.1,0.031199999153614044
32.16.8.32.32.8.1.5.5.1.1.1,0.03417599946260452
b16.16.8.32.32.8.1.5.5.1.1.1,0.030432000756263733
16.16.8.32.32.8.1.7.7.1.1.1,0.032416000962257385
32.16.8.32.32.8.1.7.7.1.1.1,0.0344959981739521
b16.16.8.32.32.8.1.7.7.1.1.1,0.032735999673604965
16.16.16.32.32.16.1.3.3.1.1.1,0.026496000587940216
32.16.16.32.32.16.1.3.3.1.1.1,0.024159999564290047
b16.16.16.32.32.16.1.3.3.1.1.1,0.02691200003027916
16.16.16.32.32.16.1.5.5.1.1.1,0.030592000111937523
32.16.16.32.32.16.1.5.5.1.1.1,0.030592000111937523
b16.16.16.32.32.16.1.5.5.1.1.1,0.03139200061559677
16.16.16.32.32.16.1.7.7.1.1.1,0.032255999743938446
32.16.16.32.32.16.1.7.7.1.1.1,0.034143999218940735
b16.16.16.32.32.16.1.7.7.1.1.1,0.0323840007185936
16.16.64.32.32.64.1.3.3.1.1.1,0.029983999207615852
32.16.64.32.32.64.1.3.3.1.1.1,0.034272000193595886
b16.16.64.32.32.64.1.3.3.1.1.1,0.03081599995493889
16.16.64.32.32.64.1.5.5.1.1.1,0.04124800115823746
32.16.64.32.32.64.1.5.5.1.1.1,0.05478399991989136
b16.16.64.32.32.64.1.5.5.1.1.1,0.04179200157523155
16.16.64.32.32.64.1.7.7.1.1.1,0.062431998550891876
32.16.64.32.32.64.1.7.7.1.1.1,0.1093439981341362
b16.16.64.32.32.64.1.7.7.1.1.1,0.06163199990987778
16.16.128.32.32.128.1.3.3.1.1.1,0.035999998450279236
32.16.128.32.32.128.1.3.3.1.1.1,0.057023998349905014
b16.16.128.32.32.128.1.3.3.1.1.1,0.03651199862360954
16.16.128.32.32.128.1.5.5.1.1.1,0.05728000029921532
32.16.128.32.32.128.1.5.5.1.1.1,0.11027199774980545
b16.16.128.32.32.128.1.5.5.1.1.1,0.055904000997543335
16.16.128.32.32.128.1.7.7.1.1.1,0.11680000275373459
32.16.128.32.32.128.1.7.7.1.1.1,0.18428799510002136
b16.16.128.32.32.128.1.7.7.1.1.1,0.11507199704647064
16.16.256.32.32.256.1.3.3.1.1.1,0.07036799937486649
32.16.256.32.32.256.1.3.3.1.1.1,0.13875199854373932
b16.16.256.32.32.256.1.3.3.1.1.1,0.0703359991312027
16.16.256.32.32.256.1.5.5.1.1.1,0.13651199638843536
32.16.256.32.32.256.1.5.5.1.1.1,0.34624001383781433
b16.16.256.32.32.256.1.5.5.1.1.1,0.1351040005683899
16.16.256.32.32.256.1.7.7.1.1.1,0.3147200047969818
32.16.256.32.32.256.1.7.7.1.1.1,0.5850560069084167
b16.16.256.32.32.256.1.7.7.1.1.1,0.31040000915527344
16.16.512.32.32.512.1.3.3.1.1.1,0.1796800047159195
32.16.512.32.32.512.1.3.3.1.1.1,0.3659519851207733
b16.16.512.32.32.512.1.3.3.1.1.1,0.17798399925231934
16.16.512.32.32.512.1.5.5.1.1.1,0.39395201206207275
32.16.512.32.32.512.1.5.5.1.1.1,0.8261439800262451
b16.16.512.32.32.512.1.5.5.1.1.1,0.41203200817108154
16.16.512.32.32.512.1.7.7.1.1.1,0.9214079976081848
32.16.512.32.32.512.1.7.7.1.1.1,1.8513280153274536
b16.16.512.32.32.512.1.7.7.1.1.1,0.9308159947395325
16.16.768.32.32.768.1.3.3.1.1.1,0.3671039938926697
32.16.768.32.32.768.1.3.3.1.1.1,0.6738240122795105
b16.16.768.32.32.768.1.3.3.1.1.1,0.36208000779151917
16.16.768.32.32.768.1.5.5.1.1.1,1.0056960582733154
32.16.768.32.32.768.1.5.5.1.1.1,1.6299840211868286
b16.16.768.32.32.768.1.5.5.1.1.1,0.9623680114746094
16.16.768.32.32.768.1.7.7.1.1.1,2.7783360481262207
32.16.768.32.32.768.1.7.7.1.1.1,4.300864219665527
b16.16.768.32.32.768.1.7.7.1.1.1,2.711199998855591
16.16.1024.32.32.1024.1.3.3.1.1.1,0.5851519703865051
32.16.1024.32.32.1024.1.3.3.1.1.1,1.2343679666519165
b16.16.1024.32.32.1024.1.3.3.1.1.1,0.5771200060844421
16.16.1024.32.32.1024.1.5.5.1.1.1,1.675935983657837
32.16.1024.32.32.1024.1.5.5.1.1.1,2.6691200733184814
b16.16.1024.32.32.1024.1.5.5.1.1.1,1.648319959640503
16.16.1024.32.32.1024.1.7.7.1.1.1,4.825088024139404
32.16.1024.32.32.1024.1.7.7.1.1.1,6.950528144836426
b16.16.1024.32.32.1024.1.7.7.1.1.1,4.7685441970825195
